Test,Test,Test
Does Coravin transfer TCA,Could using the Coravin spread bacteria between bottles?,"When used correctly the Coravin is designed to prevent the spread of bacteria.  The materials used to coat the needle do not harbor bacteria and fungus. In fact, all elements of the wine path leverage FDA approved food-grade materials, so there is little chance of contamination when going from bottle to bottle. "
Does Coravin transfer Brett,Could using the Coravin spread bacteria between bottles?,"When used correctly the Coravin is designed to prevent the spread of bacteria.  The materials used to coat the needle do not harbor bacteria and fungus. In fact, all elements of the wine path leverage FDA approved food-grade materials, so there is little chance of contamination when going from bottle to bottle. "
How long will it take to receive my Coravin?,How long will it take to receive my Coravin?,Orders placed by 2PM ususally ship that day; standard shipping delivers within 2-3 business days
When will I get it,How long will it take to receive my Coravin?,Orders placed by 2PM ususally ship that day; standard shipping delivers within 2-3 business days
How long does it take to ship,How long will it take to receive my Coravin?,Orders placed by 2PM ususally ship that day; standard shipping delivers within 2-3 business days
I placed an order on and it hasn't arrived,How long will it take to receive my Coravin?,Orders placed by 2PM ususally ship that day; standard shipping delivers within 2-3 business days
Can I cancel my order?,Can I cancel my order?,"Unfortunately, no. Please contact customer service at 855-692-6728 and they will have it returned as a refused shipment"
Can I change my order?,Can I change my order?,"Unfortunately, no. Please contact customer service at 855-692-6728 and they will help with a work around"
Is there a Warranty,Is there a Warranty,Yes - the Coravin as a 1 year warranty. That warranty is doubled when joining the Coravin Club
does coravin come with a warrenty,Is there a Warranty,Yes - the Coravin as a 1 year warranty. That warranty is doubled when joining the Coravin Club
Is there a trial period or a guarantee?,Is there a trial period or a guarantee?,Yes - Coravin offers a 30-day Risk Free Period if you purchase directly from coravin.com. 
Can I get my money back,Is there a trial period or a guarantee?,Yes - Coravin offers a 30-day Risk Free Period if you purchase directly from coravin.com. 
Money back if I don't like it,Is there a trial period or a guarantee?,Yes - Coravin offers a 30-day Risk Free Period if you purchase directly from coravin.com. 
What is the difference between the Coravin Models?,What is the difference between the Coravin Models?,All Coravin Wine Systems utilize a patented technology to protect your wine from oxidation allowing you to pour without committing to the bottle. The differences between the models are about the design and composition vs. Performance.
is there a difference between models,What is the difference between the Coravin Models?,All Coravin Wine Systems utilize a patented technology to protect your wine from oxidation allowing you to pour without committing to the bottle. The differences between the models are about the design and composition vs. performance.
What comes in the box?,What comes in the box?,Each Coravin system comes with 2 Coravin Capsules (pressurized argon gas) a standard needle and needle-cleaning tool.
what comes with the coravin,What comes in the box?,Each Coravin system comes with 2 Coravin Capsules (pressurized argon gas) a standard needle and needle-cleaning tool.
Can you just leave the needle in place instead of removing each time?,Can you just leave the needle in place instead of removing each time?,"We do recommend that you remove the needle from the cork every time after you finish the pour, and then re-insert when you want another pour. The reason is that if you leave the needle engaged in the cork for an extended period of time, it could make it more difficult for the cork to reseal. "
can i leave the needle in,Can you just leave the needle in place instead of removing each time?,"We do recommend that you remove the needle from the cork every time after you finish the pour, and then re-insert when you want another pour. The reason is that if you leave the needle engaged in the cork for an extended period of time, it could make it more difficult for the cork to reseal. "
do i have to take the needle out,Can you just leave the needle in place instead of removing each time?,"We do recommend that you remove the needle from the cork every time after you finish the pour, and then re-insert when you want another pour. The reason is that if you leave the needle engaged in the cork for an extended period of time, it could make it more difficult for the cork to reseal. "
Does wine from one bottle get introduced into the next bottle?,Does wine from one bottle get introduced into the next bottle?,We recommend that you press the trigger quickly after removing the needle from a bottle before inserting into another bottle. This pushes some argon gas through the system and needle to clear out any residual wine.
How should I store my wine after using Coravin?,How should I store my wine after using Coravin?,"Store the bottle properly: on its side, in a cool and dark place to protect the wine from light and heat, and to keep the cork moist and in good condition."
How long does it take to pour each glass?,How long does it take to pour each glass?,A 5-ounce pour of wine using the standard needle takes about 25-29 seconds.
how long per pour,How long does it take to pour each glass?,A 5-ounce pour of wine using the standard needle takes about 25-29 seconds.
does coravin work with all types of wine,Will coravin work on magnums as well as regular bottles? ,"The Coravin™ System will work on 375 ml, 750 ml and 1.5L bottles; "
Will coravin work on magnums as well as regular bottles? ,Will coravin work on magnums as well as regular bottles? ,"The Coravin™ System will work on 375 ml, 750 ml and 1.5L bottles; "
Can I take Coravin on a plane?,Can I take Coravin on a plane?,"According to the information we have received from TSA, the Coravin Capsules are not permitted on board an air flight, either domestic or international. So if you try to bring the capsules with you on they may be confiscated. "
can i travel with coravin,Can I take Coravin on a plane?,"According to the information we have received from TSA, the Coravin Capsules are not permitted on board an air flight, either domestic or international. So if you try to bring the capsules with you on they may be confiscated. "
can i take coravin on an airplane,Can I take Coravin on a plane?,"According to the information we have received from TSA, the Coravin Capsules are not permitted on board an air flight, either domestic or international. So if you try to bring the capsules with you on they may be confiscated. "
can I carry coravin on plane?,Can I take Coravin on a plane?,"According to the information we have received from TSA, the Coravin Capsules are not permitted on board an air flight, either domestic or international. So if you try to bring the capsules with you on they may be confiscated. "
can I carry on flight,Can I take Coravin on a plane?,"According to the information we have received from TSA, the Coravin Capsules are not permitted on board an air flight, either domestic or international. So if you try to bring the capsules with you on they may be confiscated. "
"After using the Coravin, can you use a regular corkscrew to open the bottle? ","After using the Coravin, can you use a regular corkscrew to open the bottle? ","Yes, you can pull the cork and enjoy the rest of the bottle."
Is Coravin Made in the USA?,Is Coravin Made in the USA?,"The Coravin System was developed in the United States, is made in China and the Coravin capsules are made in Vienna Austria."
"where is coravin made, manufactured",Is Coravin Made in the USA?,"The Coravin System was developed in the United States, is made in China and the Coravin capsules are made in Vienna Austria."
Can I Automatically Order Additional Argon Capsules?,Can I Automatically Order Additional Argon Capsules?,Yes - there is an autodelivery plan that offers 10% off on your order!
how do i get more argon capsules,Can I Automatically Order Additional Argon Capsules?,Yes - there is an autodelivery plan that offers 10% off on your order!
What's the Best Temperature for Serving Wine?,What's the Best Temperature for Serving Wine?,"As a general rule of thumb:
Red wine, 65 degrees (F).
White & rosé wine, 55 degrees (F).
Champagne & other bubbly, 45 degrees (F)."
What are the benefits of using the Coravin system?,What are the benefits of using the Coravin system?,"The Coravin™ System lets you access, pour, and enjoy wine from a bottle – without pulling the cork. This keeps the wine free from oxidation and allows it to continue to age on its own giving you the option to enjoy any wine, any time in any amount."
How do I contact customer support?,How do I contact customer support?,"Questions or concerns about your product? Our Customer Service department is available to help you with all your Coravin-related questions. They're available from Monday - Friday, 9am - 6pm EST at 855-692-6728 "
i want to talk to a human,How do I contact customer support?,"Questions or concerns about your product? Our Customer Service department is available to help you with all your Coravin-related questions. They're available from Monday - Friday, 9am - 6pm EST at 855-692-6728 "
can i speak to tech support,How do I contact customer support?,"Questions or concerns about your product? Our Customer Service department is available to help you with all your Coravin-related questions. They're available from Monday - Friday, 9am - 6pm EST at 855-692-6728 "
